name,zipp time,mono time,e time,total time,poly cl,mono cl,all subst,new cl,mono win,status
ITP272^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP163^2,0.261259,0.373129,0.000246,-1.0,282,7,4430,768,0,-1
ITP235^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP060^2,0.368373,0.091552,-1.0,-1.0,26,305,268,34,-1,-1
COM084_5,0.193825,-1.0,-1.0,-1.0,69,61,-1,-1,-1,-1
SWV807_5,0.390655,1.012220,-1.0,-1.0,70,95,12285,698,-1,-1
LCL803_5,0.804120,-1.0,-1.0,-1.0,24,121,-1,-1,-1,-1
SEV466^1,0.026052,0.009045,0.000244,29.938,9,4,250,23,0,-1
ITP002_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP056^2,0.334107,0.265095,0.000245,-1.0,218,134,4436,613,0,-1
NUN004_5,0.140223,0.067314,0.003676,0.562,30,91,480,60,1,1
PRO020^1,0.483182,0.323553,-1.0,-1.0,307,10,5321,522,-1,-1
ITP243^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SWW555_5,0.560849,2.762336,-1.0,-1.0,71,30,20235,607,-1,-1
LCL744_5,0.109934,0.034008,-1.0,-1.0,9,112,312,33,-1,-1
SYO558^1,0.035174,0.000068,0.003402,0.090,0,3,0,0,1,1
ITP010_3,0.066083,0.002357,0.000611,0.172,4,46,0,0,1,1
COM089_5,0.474927,-1.0,-1.0,-1.0,116,17,-1,-1,-1,-1
LCL836_5,0.317997,0.951861,0.033872,5.285,14,86,9194,217,1,1
COM190^1,0.756858,0.947985,0.077291,8.106,466,27,13733,1994,1,1
NUM923^2,0.549419,0.095502,-1.0,-1.0,0,870,0,0,-1,-1
LCL761_5,0.137829,0.047438,-1.0,-1.0,19,64,410,45,-1,-1
NUM995_5,0.152056,0.052973,0.006050,0.569,25,86,400,50,1,1
COM069_5,0.209801,-1.0,-1.0,-1.0,63,30,-1,-1,-1,-1
SCT198_5,0.386531,-1.0,-1.0,-1.0,73,6,-1,-1,-1,-1
ITP134^2,0.145134,0.537348,0.052871,5.062,144,98,12232,1325,1,1
SEV476^1,0.041288,0.000665,0.003310,0.147,2,2,16,2,1,1
SCT195_5,0.491213,-1.0,-1.0,-1.0,55,13,-1,-1,-1,-1
SCT240_5,0.350242,-1.0,-1.0,-1.0,67,33,-1,-1,-1,-1
NUM939_5,0.025322,0.000012,0.000242,0.137,0,1,0,0,0,0
NUM965_5,0.057619,0.000013,0.000218,0.167,0,1,0,0,0,0
DAT233^1,0.611809,0.408460,-1.0,-1.0,193,121,6124,556,-1,-1
ITP156^2,0.367464,0.616714,-1.0,-1.0,172,23,9930,1031,-1,-1
ANA083^1,0.046060,0.000345,0.004876,0.095,0,8,0,0,1,1
ITP271_2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
COM029_5,0.039958,0.040925,-1.0,-1.0,29,37,482,47,-1,-1
ITP208_2,7.693465,-1.0,-1.0,-1.0,417,790,-1,-1,-1,-1
SWW498_5,0.109930,0.068749,0.003809,0.559,35,87,836,105,1,1
ANA122^1,0.025518,0.000296,0.000246,0.778,0,6,0,0,0,1
COM028_5,0.151463,0.052559,-1.0,-1.0,32,34,778,94,-1,-1
NUM940_5,0.079926,0.048596,0.003826,0.371,26,81,416,52,1,1
SWW483_5,0.077722,0.037138,-1.0,-1.0,18,68,428,54,-1,-1
SCT258_5,0.563253,-1.0,-1.0,-1.0,77,117,-1,-1,-1,-1
ITP259^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
LCL749_5,0.144141,0.135806,-1.0,-1.0,38,46,2703,190,-1,-1
LCL814_5,0.280209,-1.0,-1.0,-1.0,33,104,-1,-1,-1,-1
DAT122^1,0.267451,9.023125,0.000439,30.145,238,26,19294,597,0,-1
COM032_5,0.234804,0.140083,-1.0,-1.0,58,25,1909,356,-1,-1
NUN007_5,0.156120,0.055065,-1.0,-1.0,28,69,448,56,-1,-1
ANA085^1,0.009625,0.000253,-1.0,-1.0,0,10,0,0,-1,-1
ITP089^2,0.581367,0.258704,-1.0,-1.0,147,156,3508,441,-1,-1
DAT250^1,0.683938,0.683323,-1.0,-1.0,348,4,7468,1671,-1,-1
COM119_5,0.204214,-1.0,-1.0,-1.0,64,52,-1,-1,-1,-1
ITP269^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP021^3,0.030689,0.002053,0.006154,0.182,2,69,16,2,1,1
ITP015_3,0.035178,0.006854,0.003033,0.218,11,30,78,11,1,1
COM045_5,0.142227,0.050103,0.001461,0.432,46,28,392,47,1,1
DAT243^1,0.729809,2.804871,-1.0,-1.0,142,2,24261,1347,-1,-1
NUN014_5,0.055721,0.011968,-1.0,-1.0,9,32,144,18,-1,-1
SCT235_5,0.453141,-1.0,-1.0,-1.0,47,31,-1,-1,-1,-1
COM062_5,0.565936,-1.0,-1.0,-1.0,127,38,-1,-1,-1,-1
ITP030^2,0.033248,0.000011,0.000170,0.289,0,1,0,0,0,0
NUM935_5,0.131815,0.045886,-1.0,-1.0,21,103,336,42,-1,-1
ITP212_2,7.160634,-1.0,-1.0,-1.0,1118,278,-1,-1,-1,-1
NUN001_5,0.066461,0.056506,-1.0,-1.0,27,113,412,54,-1,-1
NUM999_5,0.134039,0.045050,-1.0,-1.0,20,109,320,40,-1,-1
ITP240^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP258^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP086^2,0.100302,0.206538,-1.0,-1.0,168,69,2676,336,-1,-1
ITP193^2,0.235610,1.790690,-1.0,-1.0,366,114,40667,1996,-1,-1
NUN016_5,0.138641,0.060018,0.001228,0.564,28,105,448,56,1,1
COM115_5,1.332813,-1.0,-1.0,-1.0,89,32,-1,-1,-1,-1
