name,zipp time,mono time,e time,total time,poly cl,mono cl,all subst,new cl,mono win,status
#30_-1_2_9_-1_1_6_10_-1_2_1_500_4_10
COM200^1,0.347317,0.226051,-1.0,-1.0,87,338,2040,255,-1,-1
DAT151^1,1.749754,0.091041,-1.0,-1.0,118,107,928,114,-1,-1
LCL752_5,0.242527,-1.0,-1.0,-1.0,24,383,-1,-1,-1,-1
COM068_5,0.680099,-1.0,-1.0,-1.0,162,271,-1,-1,-1,-1
SWV665_5,2.289067,1.048280,-1.0,-1.0,221,254,10160,949,-1,-1
LCL829_5,1.303406,-1.0,-1.0,-1.0,317,126,-1,-1,-1,-1
LCL813_5,3.741800,-1.0,-1.0,-1.0,309,370,-1,-1,-1,-1
DAT184^1,1.112475,0.728626,-1.0,-1.0,305,73,14066,756,-1,-1
COM072_5,3.617713,-1.0,-1.0,-1.0,276,246,-1,-1,-1,-1
COM179^1,0.884488,2.303533,-1.0,-1.0,411,15,58327,850,-1,-1
ITP280^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP158^2,1.874897,14.208092,-1.0,-1.0,250,141,64809,782,-1,-1
SWW546_5,0.188501,0.083096,-1.0,-1.0,49,55,1048,155,-1,-1
SEV492^1,-1.0,-1.0,-1.0,0.186,-1,-1,-1,-1,-1,1
LCL820_5,4.038041,-1.0,-1.0,-1.0,445,327,-1,-1,-1,-1
ITP165^2,0.621994,2.346995,-1.0,-1.0,540,32,58889,1142,-1,-1
ITP243^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SCT250_5,0.895739,-1.0,-1.0,-1.0,223,177,-1,-1,-1,-1
ITP018_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
PRO022^1,1.982518,3.323121,0.000287,-1.0,860,5,69055,1568,0,-1
SEV493^1,-1.0,-1.0,-1.0,0.194,-1,-1,-1,-1,-1,1
COM114_5,0.869013,-1.0,-1.0,-1.0,158,122,-1,-1,-1,-1
COM109_5,1.668057,-1.0,-1.0,-1.0,258,320,-1,-1,-1,-1
LCL837_5,0.846206,2.380465,-1.0,-1.0,145,426,21619,320,-1,-1
ITP230^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP281^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP250^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
COM203^1,-1.0,-1.0,-1.0,0.509,-1,-1,-1,-1,-1,1
ITP290^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT171^1,1.030488,0.350383,-1.0,-1.0,231,138,1272,163,-1,-1
